PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-6.351602	-9.791084	-4.395615	-8.602679	-10.631796	-4.536065
-6.045281	8.749622	7.603031	-12.730098	8.312117	-4.536065
9.985905	-12.647846	-4.843460	5.856600	-8.347038	6.411037
-3.036782	7.578162	5.221430	-11.215077	7.678616	-8.394286
12.858082	2.456288	5.133019	3.558732	7.651201	6.334126
-5.871304	-7.539755	-4.843258	-8.740778	-8.347013	-9.108161
12.327286	1.208120	4.987810	4.740208	5.764236	8.599101
13.846880	-12.999866	-3.897946	6.727495	-12.451932	8.599165
6.676138	-10.462029	-3.897946	-4.393385	-12.405747	-1.351489
4.153896	5.662726	5.599880	-6.847767	6.433158	-3.794023
9.646077	-16.961208	-2.944132	6.640167	-7.034281	5.785237
9.352607	-16.961208	-2.944132	6.580347	-7.034281	-0.429748
1.890720	0.687370	6.789062	-10.153238	4.891010	-7.719318
3.795797	-16.958189	-2.944131	-4.194711	-7.034281	-6.706085
10.829183	-16.046099	-5.283546	8.092846	-12.123408	6.477310
-3.772012	6.864409	6.977497	-13.188126	6.216622	-9.126346
-3.500454	-11.473337	-5.283546	-7.160743	-12.123408	-8.564947
10.532493	2.162721	6.977433	1.937438	6.216320	6.076104
-8.691589	-9.063449	-2.450082	-6.765650	-5.878241	-11.206761
9.142903	-15.603084	-2.450082	7.191189	-5.878241	4.303699
-6.472063	5.929883	5.357707	-11.082515	6.144536	-11.112768
9.827364	-5.288361	3.691279	4.773732	2.257988	4.305489
-11.982308	8.503317	6.488145	-10.355245	5.596932	-10.915731
-11.905949	-7.743913	-1.113941	-6.892809	-5.242407	-10.915676
6.936356	2.082269	6.382394	3.253279	5.580976	5.996746
6.977906	-14.173376	-1.113943	6.645851	-5.243044	5.998850
8.347112	-8.491272	0.250225	8.843025	-12.897488	8.487514
-0.077598	-0.608628	0.554097	3.852188	-12.282317	-1.178999
-1.305558	6.137784	6.864021	-4.089528	5.959967	-8.942636
3.351346	3.590716	6.861728	-2.834059	5.959961	-3.968734
-3.385336	-9.922002	-0.481756	-9.817383	-8.474980	-10.724287
10.375110	-14.967737	-0.481756	6.591248	-8.485158	6.281218
-3.096906	3.749430	8.320082	-16.013830	5.094074	-10.724317
3.178096	0.321301	5.907578	-9.841965	4.080043	-5.566028
-8.261817	-10.596089	-0.389941	-9.188790	-9.673483	-13.608778
-8.298523	7.747995	6.846641	-11.524589	4.898437	-13.608877
8.814297	-12.709480	-0.389941	6.012788	-9.858483	5.314720
8.783124	5.684653	6.845067	3.676710	4.895105	5.284598
-4.972797	-10.811523	-4.116082	-10.089040	-9.636838	-11.120412
6.667218	-14.734858	-4.116082	6.572207	-9.636838	1.253054
9.982839	-16.563119	-4.116082	6.596328	-9.636838	5.750073
-7.196058	5.814748	7.342844	-16.025679	6.202937	-11.122848
